JDTDB,Calendar Date (TDB),X,Y,Z,VX,VY,VZ,LT,RG,RR
2460314.791666667,A.D. 2024-Jan-05 07:00:00.0000,-35796553.38730669,142680724.8425723,-7669.537748575211,-29.38356173521012,-7.351267424098329,0.001623675496711829,490.6815429618018,147102625.8597511,
2460314.833333333,A.D. 2024-Jan-05 08:00:00.0000,-35902324.70855141,142654221.6435852,-7663.692420400679,-29.37828069587989,-7.372731501102425,0.001623714124217024,490.6817855466466,147102698.584858,
2460314.875,A.D. 2024-Jan-05 09:00:00.0000,-36008076.98883887,142627641.1794589,-7657.847114413977,-29.37298342474985,-7.394192499258852,0.001623663136497644,490.6820323085764,147102772.5622235,
2460314.916666667,A.D. 2024-Jan-05 10:00:00.0000,-36113810.16972512,142600983.4613011,-7652.002153553069,-29.36766991655148,-7.415650405324788,0.001623522370552077,490.6822832383721,147102847.7890838,
2460314.958333333,A.D. 2024-Jan-05 11:00:00.0000,-36219524.19274721,142574248.5002671,-7646.157861277461,-29.36234016599152,-7.437105206001042,0.001623291667417703,490.6825383267959,147102924.2626694,
2460315.0,A.D. 2024-Jan-05 12:00:00.0000,-36325218.99942305,142547436.3075604,-7640.314561650157,-29.35699416775197,-7.458556887930963,0.001622970872267704,490.6827975645932,147103001.9802058,
2460315.041666667,A.D. 2024-Jan-05 13:00:00.0000,-36430894.53125139,142520546.8944326,-7634.472579285502,-29.35163191649015,-7.48000543769934,0.001622559834504766,490.6830609424915,147103080.9389133,
2460315.083333333,A.D. 2024-Jan-05 14:00:00.0000,-36536550.72971171,142493580.2721837,-7628.632239311934,-29.34625340683859,-7.501450841831252,0.001622058407853011,490.6833284512019,147103161.1360071,
2460315.125,A.D. 2024-Jan-05 15:00:00.0000,-36642187.5362641,142466536.4521624,-7622.793867386878,-29.34085863340521,-7.522893086790931,0.001621466450456577,490.6836000814186,147103242.5686975,
2460315.166666667,A.D. 2024-Jan-05 16:00:00.0000,-36747804.89234919,142439415.4457661,-7616.957789666951,-29.33544759077335,-7.544332158980605,0.001620783824982208,490.6838758238194,147103325.2341896,
2460315.208333333,A.D. 2024-Jan-05 17:00:00.0000,-36853402.7393881,142412217.2644414,-7611.124332815409,-29.33002027350185,-7.565768044739317,0.001620010398717842,490.6841556690666,147103409.1296841,
2460315.25,A.D. 2024-Jan-05 18:00:00.0000,-36958981.01878228,142384941.9196842,-7605.293823905289,-29.32457667612518,-7.587200730341739,0.001619146043679187,490.6844396078062,147103494.2523767,
2460315.291666667,A.D. 2024-Jan-05 19:00:00.0000,-37064539.67191349,142357589.4230397,-7599.466590553522,-29.31911679315361,-7.608630201996954,0.001618190636708317,490.6847276306693,147103580.5994589,
2460315.333333333,A.D. 2024-Jan-05 20:00:00.0000,-37170078.64014366,142330159.7861032,-7593.642960734665,-29.31364061907335,-7.630056445847251,0.001617144059591347,490.6850197282722,147103668.1681172,
2460315.375,A.D. 2024-Jan-05 21:00:00.0000,-37275597.86481484,142302653.0205197,-7587.823262877762,-29.30814814834677,-7.651479447966883,0.001616006199161024,490.6853158912164,147103756.9555342,
2460315.416666667,A.D. 2024-Jan-05 22:00:00.0000,-37381097.28724911,142275069.1379847,-7582.007825762033,-29.30263937541263,-7.67289919436082,0.00161477694740908,490.685616110089,147103846.958888,
2460315.458333333,A.D. 2024-Jan-05 23:00:00.0000,-37486576.84874846,142247408.150244,-7576.196978636086,-29.29711429468628,-7.694315670963487,0.001613456201599472,490.6859203754643,147103938.1753527,
2460315.5,A.D. 2024-Jan-06 00:00:00.0000,-37592036.49059476,142219670.0690944,-7570.391051031649,-29.29157290056003,-7.715728863637493,0.00161204386438607,490.6862286779022,147104030.6020984,
2460315.541666667,A.D. 2024-Jan-06 01:00:00.0000,-37697476.15404966,142191854.9063836,-7564.590372830629,-29.28601518740339,-7.737138758172336,0.001610539843927228,490.6865410079504,147104124.2362913,
2460315.583333333,A.D. 2024-Jan-06 02:00:00.0000,-37802895.78035446,142163962.6740105,-7558.79527426511,-29.2804411495634,-7.758545340283126,0.001608944054006578,490.6868573561439,147104219.0750937,
2460315.625,A.D. 2024-Jan-06 03:00:00.0000,-37908295.31073008,142135993.3839257,-7553.0060858652,-29.27485078136506,-7.77994859560925,0.001607256414150271,490.6871777130056,147104315.1156648,
2460315.666666667,A.D. 2024-Jan-06 04:00:00.0000,-38013674.68637702,142107947.0481316,-7547.223138399422,-29.26924407711169,-7.801348509713062,0.001605476849754428,490.687502069047,147104412.3551597,
2460315.708333333,A.D. 2024-Jan-06 05:00:00.0000,-38119033.84847517,142079823.6786827,-7541.446762941778,-29.26362103108531,-7.822745068078556,0.001603605292204602,490.6878304147685,147104510.7907306,
2460315.75,A.D. 2024-Jan-06 06:00:00.0000,-38224372.73818382,142051623.2876858,-7535.677290767431,-29.25798163754722,-7.844138256110016,0.001601641679009891,490.6881627406599,147104610.4195264,
2460315.791666667,A.D. 2024-Jan-06 07:00:00.0000,-38329691.29664157,142023345.8873007,-7529.915053375065,-29.25232589073838,-7.865528059130675,0.001599585953919291,490.6884990372012,147104711.2386932,
2460315.833333333,A.D. 2024-Jan-06 08:00:00.0000,-38434989.46496628,141994991.4897398,-7524.16038248688,-29.24665378487998,-7.886914462381343,0.001597438067060697,490.6888392948628,147104813.2453739,
2460315.875,A.D. 2024-Jan-06 09:00:00.0000,-38540267.18425489,141966560.107269,-7518.413609951735,-29.24096531417401,-7.908297451019051,0.001595197975071017,490.689183504106,147104916.436709,
